"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Ventilation_Filtre_Cigarette";"Baisse_Pression_Filtre_Cigarette_Fermé";"Baisse_Pression_Filtre_Cigarette_Ouvert";"Émission_Goudron";"Émission_Nicotine";"Émission_CO"
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D8F3867244BC3A08]";"26/08/2020 16:06:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55840";16/4/2019 10:58:59;18/6/2020 00:00:00;83.00;7.80;818.00;579.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D955D53333F530C5]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55283";22/7/2019 16:26:39;30/9/2020 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D9650DCA92C4CCDD]";"26/08/2020 15:50:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55283";15/4/2019 10:11:51;26/7/2020 00:00:00;83.00;7.80;818.00;579.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D9670B3260044F10]";"27/08/2020 12:03:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55283";13/5/2019 12:12:23;26/7/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D9D1F0F4CE52E8C9]";"26/04/2022 16:21:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"63362";6/9/2019 11:13:47;21/8/2021 00:00:00;83.00;7.80;813.00;577.00;21.00;27.00;120.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D9D4168DAFB06A32]";"26/04/2022 16:10:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55286";14/5/2019 16:45:04;24/3/2021 00:00:00;83.00;7.80;799.00;573.00;21.00;25.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D9F340E57883D149]";"26/04/2022 16:21:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55287";6/9/2019 11:13:47;28/4/2021 00:00:00;83.00;7.80;813.00;577.00;21.00;27.00;120.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DA49280309710B33]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55376";29/4/2019 16:23:22;3/4/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DAACF9EB13037EFD]";"27/08/2020 11:28:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55371";29/4/2019 10:39:31;21/4/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DAADBD066E939987]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"63362";22/7/2019 16:26:39;20/4/2021 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
